area_type,availability,address,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,"KR Puram,Bangalore",1 BHK,,714,1,1,28
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,SancyRe,1115,2,2,33.45
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Hivesdr,1035,2,1,40.5
Built-up  Area,Ready To Move,"KR Puram,Bangalore",4 Bedroom,,600,5,2,75
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,1100,2,1,46
Built-up  Area,Ready To Move,"KR Puram,Bangalore",3 BHK,ViionMa,1452,3,3,60
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,HovasTe,750,2,0,40
Built-up  Area,Ready To Move,"KR Puram,Bangalore",6 Bedroom,,2000,6,0,85
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Hoston ,1000,2,1,44.5
Carpet  Area,Ready To Move,"KR Puram,Bangalore",3 BHK,Jahidva,1128.76,3,0,47.41
Plot  Area,Ready To Move,"KR Puram,Bangalore",2 Bedroom,,800,1,1,130
Plot  Area,Ready To Move,"KR Puram,Bangalore",4 Bedroom,Esnamin,1200,4,3,120
Plot  Area,Ready To Move,"KR Puram,Bangalore",2 Bedroom,,1200,2,0,71
Plot  Area,Ready To Move,"KR Puram,Bangalore",8 Bedroom,,1200,12,,110
Plot  Area,Ready To Move,"KR Puram,Bangalore",2 Bedroom,,1550,2,1,71
Plot  Area,Ready To Move,"KR Puram,Bangalore",4 Bedroom,,1000,4,1,75
Plot  Area,Ready To Move,"KR Puram,Bangalore",7 Bedroom,,1200,8,2,110
Plot  Area,Ready To Move,"KR Puram,Bangalore",3 Bedroom,Salle F,1752,3,2,145
Plot  Area,Ready To Move,"KR Puram,Bangalore",2 Bedroom,,1000,2,0,60
Plot  Area,Ready To Move,"KR Puram,Bangalore",2 Bedroom,,1200,1,0,65
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,MCvarar,1277.5,2,0,56.8
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Jahidva,1155,2,2,42.74
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,LVniaar,1225,2,1,46.55
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,1470,2,2,86
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,MCvarar,1142,2,1,51
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Saavem ,1021,2,1,48
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",3 BHK,MCvarar,1559,3,0,69.32
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,LVniaar,1290,2,1,49.02
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,HovasTe,1100,2,2,43
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,HovasTe,950,2,1,40
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,SVlesas,1156,2,1,72
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",3 BHK,DSise S,1930,2,2,57.9
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,1001,2,2,30
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,1200,2,3,47
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,1076,2,2,67
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,LVniaar,1140,2,1,43.32
Built-up  Area,Ready To Move,"KR Puram,Bangalore",6 Bedroom,,4300,6,2,175
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Thisea ,1200,2,1,42
Super built-up  Area,18-06-2023,"KR Puram,Bangalore",3 BHK,MCnexva,1430,2,1,61
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Hivesdr,1040,2,2,50
Plot  Area,Ready To Move,"KR Puram,Bangalore",8 Bedroom,,1500,7,2,382
Plot  Area,Ready To Move,"KR Puram,Bangalore",5 Bedroom,Henue A,4166,5,,560
Plot  Area,Ready To Move,"KR Puram,Bangalore",4 Bedroom,,960,4,2,80
Plot  Area,Ready To Move,"KR Puram,Bangalore",5 Bedroom,Skdia A,3657,5,,310
Built-up  Area,Ready To Move,"KR Puram,Bangalore",4 Bedroom,,1200,4,0,83
Built-up  Area,Ready To Move,"KR Puram,Bangalore",6 Bedroom,,2500,6,3,58
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,734,2,1,22
Plot  Area,Ready To Move,"KR Puram,Bangalore",4 Bedroom,IJent A,1200,4,2,100
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Sryam N,1120,2,2,36
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Apntsal,1150,2,1,42
Built-up  Area,18-02-2023,"KR Puram,Bangalore",9 BHK,,4600,9,2,200
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Esnamth,1050,2,2,55
Carpet  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Shionya,1057,2,2,30
Super built-up  Area,18-06-2023,"KR Puram,Bangalore",2 BHK,MCnexva,1085,2,1,46.5
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",3 BHK,KeureSi,1700,3,3,105
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,SVlesas,1200,2,1,72
Built-up  Area,Ready To Move,"KR Puram,Bangalore",4 Bedroom,Caxusnd,2065,4,0,248
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",4 BHK,,3628,4,1,246
Plot  Area,Ready To Move,"KR Puram,Bangalore",6 Bedroom,Coronte,1200,6,3,132
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,2000,2,0,75
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,SLontel,1100,2,2,45
Built-up  Area,Ready To Move,"KR Puram,Bangalore",5 BHK,Skdia A,3300,3,1,255
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",4 BHK,Thessmm,3000,4,2,235
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,SViseun,1035,2,2,40
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,CiaksRi,1116,2,1,45
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,1290,2,2,69
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",3 BHK,SLontel,1300,2,2,57
Carpet  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Jahidva,866,2,0,36.38
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,SViseun,1096,2,1,43
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,Gasom B,1204,2,2,58
Built-up  Area,Ready To Move,"KR Puram,Bangalore",1 BHK,,700,1,1,21.5
Plot  Area,17-08-2023,"KR Puram,Bangalore",5 Bedroom,,1200,5,1,125
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,LVniaar,1205,2,1,45.79
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",3 BHK,Srystme,1827,3,2,97
Built-up  Area,18-05-2023,"KR Puram,Bangalore",2 BHK,SancyRe,1075,2,2,32.25
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",3 BHK,RaiewLa,1400,2,3,60
Built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,1100,2,1,39.9
Super built-up  Area,21-12-2023,"KR Puram,Bangalore",4 BHK,Moquach,2283,,,121
Built-up  Area,Ready To Move,"KR Puram,Bangalore",7 Bedroom,,2800,6,1,110
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,,1020,2,2,39
Plot  Area,Ready To Move,"KR Puram,Bangalore",2 Bedroom,Anncyar,1200,2,0,75
Super built-up  Area,Ready To Move,"KR Puram,Bangalore",2 BHK,AeisePV,1245,2,1,60
Plot  Area,Ready To Move,"Krishna Nagar,Bangalore",5 Bedroom,,1000,4,2,90
Plot  Area,Ready To Move,"Krishna Nagar,Bangalore",4 Bedroom,,1650,2,1,140
Super built-up  Area,Ready To Move,"Krishna Reddy Layout,Bangalore",3 BHK,ThntsAp,1250,3,1,55
Super built-up  Area,Ready To Move,"Krishna Reddy Layout,Bangalore",3 BHK,RahtsHe,2180,3,,285
Super built-up  Area,Ready To Move,"Krishna Reddy Layout,Bangalore",3 BHK,RahtsHe,2180,3,3,273
Plot  Area,Ready To Move,"KSRTC Layout,Bangalore",4 Bedroom,,1500,4,0,110
Super built-up  Area,Ready To Move,"KSRTC Layout,Bangalore",2 BHK,Srisei ,1200,2,3,62.5
Super built-up  Area,Ready To Move,"KSRTC Layout,Bangalore",3 BHK,,1215,2,3,50
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,GKityel,1152,2,1,53.5
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,,1027,2,2,43
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,Srrnasa,1092,2,2,44
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,Srrnasa,1027,2,2,43
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,Srrnasa,1092,2,2,44
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,GKityel,1143,2,1,55
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",3 BHK,,1455,2,3,60
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",3 BHK,MJinala,1293,2,2,85
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,Srrnasa,1024,2,2,44
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",3 BHK,GKityde,1570,2,2,65.94
Built-up  Area,Ready To Move,"Kudlu,Bangalore",3 BHK,GKityde,1600,3,3,79
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,Srrnasa,1027,2,2,42
Built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,,1076,2,1,50
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",3 BHK,MJinala,1293,2,2,80
Built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,MJinala,1030,2,2,75
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,,1027,2,2,44
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",3 BHK,MJinala,1700,3,3,125
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,MRvar S,1084,2,1,53
Built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,GKityde,1300,2,2,56
Built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,Srrnasa,1027,2,2,44
Carpet  Area,Ready To Move,"Kudlu,Bangalore",3 BHK,,1245,2,1,60
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,Srrnasa,1027,2,1,44
Built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,,1110,2,1,46
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",4 BHK,,2100,3,1,114
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,,1027,2,2,44
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",1 BHK,GKityel,720,1,1,33
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,,1027,2,2,44
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,GKityel,1162,2,1,52
Super built-up  Area,Ready To Move,"Kudlu,Bangalore",2 BHK,,1041,2,1,53
Super built-up  Area,18-04-2023,"Kudlu Gate,Bangalore",3 BHK,,1364,2,3,46.38
Super built-up  Area,18-08-2023,"Kudlu Gate,Bangalore",1 BHK,Sanzaat,703,1,1,52
Super built-up  Area,18-12-2023,"Kudlu Gate,Bangalore",3 BHK,Sanzaat,1564,2,1,92
Super built-up  Area,18-12-2023,"Kudlu Gate,Bangalore",3 BHK,Sanzaat,1707,,,99.75
Super built-up  Area,19-09-2023,"Kudlu Gate,Bangalore",2 BHK,Srods P,1113,2,1,50
Built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Brlms P,1335,3,2,89
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Srier P,1535,3,2,83
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Srier P,1535,3,2,85
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Srier P,1535,3,1,78
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Srier P,1535,3,2,86
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,ACiteda,1238,2,3,55
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Srier P,1535,3,2,86
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Srier P,1532,3,2,83
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,,1465,2,2,49.81
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,SReafin,1185,2,1,50
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,,1664,3,2,68
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",1 BHK,,1400,1,1,285
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Brlms P,1656,3,2,80
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Brlms P,1656,3,2,75
Plot  Area,Ready To Move,"Kudlu Gate,Bangalore",9 Bedroom,,1150,9,,140
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,,1215,2,1,45
Built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,Wharl P,812,2,1,38.25
Super built-up  Area,18-08-2023,"Kudlu Gate,Bangalore",2 BHK,Sanzaat,1547,2,2,103
Built-up  Area,18-12-2023,"Kudlu Gate,Bangalore",2 BHK,,1336,2,1,86
Built-up  Area,18-12-2023,"Kudlu Gate,Bangalore",3 BHK,,1919,3,2,121
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,,1464,3,3,56
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,Srier P,1535,3,2,85
Super built-up  Area,18-08-2023,"Kudlu Gate,Bangalore",3 BHK,Sanzaat,1850,3,2,120
Super built-up  Area,18-04-2023,"Kudlu Gate,Bangalore",2 BHK,SunetSo,940,2,1,69.57
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,,1215,2,1,44.96
Built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,Brlms P,1164,2,2,75
Built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",4 Bedroom,,3850,6,0,205
Super built-up  Area,18-08-2023,"Kudlu Gate,Bangalore",2 BHK,Sanzaat,1183,2,1,79.54
Super built-up  Area,18-12-2023,"Kudlu Gate,Bangalore",3 BHK,Sanzaat,1850,3,2,110
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",3 BHK,ACiteda,1320,2,2,50
Super built-up  Area,18-06-2023,"Kudlu Gate,Bangalore",2 BHK,Sanzaat,1183,2,1,79.54
Super built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,,1200,2,1,44.4
Super built-up  Area,19-09-2023,"Kudlu Gate,Bangalore",3 BHK,Srods P,1432,2,2,61.11
Built-up  Area,Ready To Move,"Kudlu Gate,Bangalore",2 BHK,,1310,2,2,53
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",3 BHK,,1464,3,2,46
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",3 BHK,,1464,3,2,56
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",3 BHK,,1464,3,2,56
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",3 BHK,,1464,3,3,56
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",3 BHK,,1464,3,2,56
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",3 BHK,,1464,3,2,56
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",2 BHK,,1464,2,2,56
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",3 BHK,,1464,3,2,56
Super built-up  Area,Ready To Move,"KUDLU MAIN ROAD,Bangalore",3 BHK,,1464,3,2,56
Built-up  Area,Ready To Move,"Kudlu Village,,Bangalore",3 BHK,,1445,3,2,64
Built-up  Area,Ready To Move,"Kullappa Colony,Bangalore",2 BHK,,1060,2,2,60
Super built-up  Area,Ready To Move,"Kullappa Colony,Bangalore",2 BHK,,1480,2,2,65
Super built-up  Area,18-04-2023,"Kumara Park,Bangalore",3 BHK,,2000,3,3,207
Carpet  Area,Ready To Move,"Kumara Park,Bangalore",3 BHK,,2200,4,,350
Plot  Area,Ready To Move,"Kumara Park,Bangalore",4 Bedroom,,2700,6,,675
Built-up  Area,Ready To Move,"Kumara Park,Bangalore",2 BHK,,1150,2,0,250
Plot  Area,17-07-2023,"Kumara Park,Bangalore",4 Bedroom,,3500,5,1,800
Super built-up  Area,18-04-2023,"Kumara Park,Bangalore",2 BHK,,1200,2,2,75
Super built-up  Area,Ready To Move,"Kumarapalli,Bangalore",2 BHK,BMmesHo,1240,2,2,52.6
Super built-up  Area,Ready To Move,"Kumarapalli,Bangalore",3 BHK,BMmesHo,1488,2,3,60
Built-up  Area,Ready To Move,"Kumarapalli,Bangalore",3 BHK,BMmesHo,1488,2,2,65
Super built-up  Area,Ready To Move,"Kumarapalli,Bangalore",3 BHK,BMmesHo,1486,2,2,65
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",5 Bedroom,,600,3,2,85
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",7 Bedroom,,800,7,3,105
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",4 Bedroom,,2000,4,1,139
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",3 Bedroom,,600,3,1,98
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",5 Bedroom,,1270,4,1,128
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",6 Bedroom,,610,4,,95
Super built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",2 BHK,Mania G,1000,2,1,48.5
Super built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",2 BHK,Mania G,1000,2,1,58
Super built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",2 BHK,GancyRe,1000,2,2,36
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",7 Bedroom,,2400,7,1,125
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",4 Bedroom,,2600,4,0,325
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",6 Bedroom,,600,6,3,100
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",2 Bedroom,,800,1,1,90
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",3 Bedroom,,2400,2,1,125
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",6 Bedroom,,510,4,1,70
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",3 BHK,,1310,2,1,70
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",4 Bedroom,,623,4,1,75
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",4 Bedroom,BaisePa,600,2,1,72
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",1 Bedroom,,850,1,1,78
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",4 Bedroom,,2600,4,2,300
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",7 Bedroom,,3200,7,0,150
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",3 BHK,,1310,2,1,85
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",4 BHK,,2450,3,2,110
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",7 BHK,,2040,4,3,123
Plot  Area,Ready To Move,"Kumaraswami Layout,Bangalore",2 Bedroom,,600,2,1,72
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",7 Bedroom,,3100,7,3,145
Super built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",2 BHK,,1200,2,2,29
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",7 Bedroom,,3000,4,2,400
Built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",3 Bedroom,,1200,3,1,75
Super built-up  Area,Ready To Move,"Kumaraswami Layout,Bangalore",2 BHK,Shncyhi,1081,2,3,60
Plot  Area,Ready To Move,"Kumbalgodu,Bangalore",5 Bedroom,,1200,4,1,85
Plot  Area,Ready To Move,"Kumbalgodu,Bangalore",4 Bedroom,,3750,4,,190
Plot  Area,Ready To Move,"Kumbena Agrahara,Bangalore",6 Bedroom,,1200,4,1,135
Super built-up  Area,Ready To Move,"Kumbena Agrahara,Bangalore",2 BHK,Shont F,1180,2,2,50
Built-up  Area,14-07-2023,"Kumbena Agrahara,Bangalore",3 BHK,Shont F,1410,2,2,43.71
Plot  Area,Ready To Move,"Kumbhena Agrahara,Bangalore",6 Bedroom,,1200,5,1,150
Super built-up  Area,17-12-2023,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,2,127
Super built-up  Area,18-02-2023,"Kundalahalli,Bangalore",3 BHK,Dieldli,1397,3,2,104
Built-up  Area,18-03-2023,"Kundalahalli,Bangalore",2 BHK,Dieldli,1047,2,1,82
Super built-up  Area,18-05-2023,"Kundalahalli,Bangalore",3 BHK,Dieldli,1397,3,3,108
Built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,,1030,2,2,49
Built-up  Area,Ready To Move,"Kundalahalli,Bangalore",1 BHK,,2400,1,0,650
Plot  Area,Ready To Move,"Kundalahalli,Bangalore",4 Bedroom,,7000,4,3,550
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,2,125
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Dieldli,735,2,1,57.99
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,Dieldli,1397,3,3,105
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Vangsld,1291,2,3,49
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Rasom B,1010,2,1,49.27
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,Dieldli,1397,3,2,110
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,Roima A,1920,3,2,150
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,Dieldli,1397,3,3,105
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,,1800,3,3,80
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,2,124
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Dieldli,1047,2,1,84
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Dieldli,1047,2,1,83
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,,2075,3,1,115
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Rasom B,1120,2,1,53.76
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Dieldli,1047,2,1,82.62
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Dieldli,1047,2,1,91
Super built-up  Area,18-03-2023,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,1,146
Plot  Area,Ready To Move,"Kundalahalli,Bangalore",4 Bedroom,,2500,5,2,350
Plot  Area,Ready To Move,"Kundalahalli,Bangalore",3 Bedroom,Roima A,1600,3,2,170
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,AnentAp,1496,2,3,78
Super built-up  Area,18-12-2023,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,1,125
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Rasom B,1010,2,1,48.27
Super built-up  Area,18-06-2023,"Kundalahalli,Bangalore",2 BHK,Dieldli,1047,2,1,89
Plot  Area,Ready To Move,"Kundalahalli,Bangalore",4 Bedroom,Roima A,2500,5,2,245
Super built-up  Area,18-08-2023,"Kundalahalli,Bangalore",3 BHK,Dieldli,1397,3,3,105
Built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,,1800,3,2,110
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Dieldli,1047,2,1,72
Built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,,1260,2,0,58
Built-up  Area,Ready To Move,"Kundalahalli,Bangalore",4 Bedroom,Roima A,3092,4,3,230
Built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,,1065,2,1,70
Super built-up  Area,18-06-2023,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,1,146
Built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,,1500,3,2,50
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Dieldli,1047,2,2,91
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,2,128
Plot  Area,Ready To Move,"Kundalahalli,Bangalore",4 Bedroom,Roima A,1500,4,,235
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,Viuliap,1315,2,3,74
Built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 Bedroom,Roima A,2100,3,2,150
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,1,125
Super built-up  Area,18-02-2023,"Kundalahalli,Bangalore",3 BHK,Dieldli,1724,3,3,140
Super built-up  Area,Ready To Move,"Kundalahalli,Bangalore",2 BHK,,1175,2,1,65
Built-up  Area,Ready To Move,"Kundalahalli Colony,Bangalore",2 Bedroom,,1280,2,1,69
Super built-up  Area,Ready To Move,"Kundalahalli Colony,Bangalore",2 BHK,Goourta,1505,2,2,90
Super built-up  Area,Ready To Move,"Kundalahalli Colony,Bangalore",3 BHK,Goourta,2600,3,2,140
Super built-up  Area,Ready To Move,"Kundalahalli Colony,Bangalore",3 BHK,Goourta,2065,3,2,130
Super built-up  Area,Ready To Move,"Kundalahalli Colony,Bangalore",3 BHK,Goourta,1800,3,3,95
Super built-up  Area,Ready To Move,"Kundalahalli Colony,Bangalore",3 BHK,,1477,2,2,75
Plot  Area,Ready To Move,"Kundalahalli Colony,Bangalore",7 Bedroom,,1400,7,,218
Plot  Area,18-04-2023,"Kurubarahalli,Bangalore",1 Bedroom,,800,1,0,52
Built-up  Area,Ready To Move,"Kurubarahalli,Bangalore",1 Bedroom,,1200,1,0,69
Plot  Area,Ready To Move,"Kurubarahalli,Bangalore",4 Bedroom,,450,3,1,53
Plot  Area,Ready To Move,"Kurubarahalli,Bangalore",3 Bedroom,,1200,3,0,70
Plot  Area,Ready To Move,"Kurubarahalli,Bangalore",4 Bedroom,,600,4,0,77
Plot  Area,18-03-2023,"Kuvempu Layout,Bangalore",3 Bedroom,LGeete ,2200,4,2,160
Plot  Area,Ready To Move,"Kuvempu Nagar,Bangalore",7 Bedroom,,1650,9,,345
Super built-up  Area,Ready To Move,"Kuvempu Nagar,Bangalore",1 BHK,,450,1,1,25
Super built-up  Area,Ready To Move,"Kuvempu Nagar,Bangalore",3 BHK,Srersas,1540,3,2,150
Super built-up  Area,Ready To Move,"Kuvempu Nagar,Bangalore",2 BHK,,1375,2,1,45
